case_id,candidate_id,interval,station_zero_based,offset_working_px,x,y,available,passing,recorded_minimum_contrast,direct_bilinear_minimum_contrast,installed_cv2_minimum_contrast
am2_window_01_frame_28019,184:4123,11,6,-4,875.8512076338387,202.70419402663117,True,False,-13.916206359863281,-13.916206058114767,-13.9814453125
am2_window_01_frame_28019,184:4123,11,6,-2,875.6840801873593,204.69719889783275,True,True,54.433860778808594,54.433850024826825,54.287109375
am2_window_01_frame_28019,184:4123,11,6,0,875.5169527408799,206.69020376903435,True,False,3.626220703125,3.626220401376486,3.62109375
am2_window_01_frame_28019,184:4123,11,6,2,875.3498252944005,208.68320864023596,True,False,-0.9379348754882812,-0.9379366710782051,-0.93359375
am2_window_01_frame_28019,184:4123,11,6,4,875.1826978479211,210.67621351143754,True,False,-68.0841064453125,-68.08409932255745,-67.87109375
am2_window_01_frame_28019,184:4123,11,7,-4,880.7619739316332,203.11599624722112,True,True,97.32014465332031,97.32014094758779,97.21875
am2_window_01_frame_28019,184:4123,11,7,-2,880.5948464851538,205.1090011184227,True,True,27.74951171875,27.749515442177653,28.587890625
am2_window_01_frame_28019,184:4123,11,7,0,880.4277190386744,207.1020059896243,True,False,-110.92682647705078,-110.92682468891144,-110.7109375
am2_window_01_frame_28019,184:4123,11,7,2,880.2605915921949,209.0950108608259,True,False,-144.6846160888672,-144.6846194770187,-144.6640625
am2_window_01_frame_28019,184:4123,11,7,4,880.0934641457155,211.0880157320275,True,False,-143.1891632080078,-143.189163479954,-143.4462890625
am2_window_01_frame_28019,184:4123,11,8,-4,885.6727435955299,203.52779875008238,True,True,90.02892303466797,90.02891964558512,89.96875
am2_window_01_frame_28019,184:4123,11,8,-2,885.5056161490505,205.52080362128396,True,True,42.18183898925781,42.18183964770287,42.296875
am2_window_01_frame_28019,184:4123,11,8,0,885.3384887025711,207.51380849248557,True,False,-76.73920440673828,-76.73920104652643,-76.5126953125
am2_window_01_frame_28019,184:4123,11,8,2,885.1713612560917,209.50681336368717,True,False,-142.0384063720703,-142.03840322047472,-141.86328125
am2_window_01_frame_28019,184:4123,11,8,4,885.0042338096123,211.49981823488875,True,False,-146.0013427734375,-146.00134748965502,-145.828125
am2_window_01_frame_28019,184:4123,11,9,-4,890.5835098933245,203.93960097067236,True,True,119.5260009765625,119.52600714564323,119.45703125
am2_window_01_frame_28019,184:4123,11,9,-2,890.4163824468451,205.93260584187394,True,True,94.067626953125,94.06762169115245,93.943359375
am2_window_01_frame_28019,184:4123,11,9,0,890.2492550003657,207.92561071307554,True,False,-59.28356170654297,-59.28356142900884,-59.7109375
am2_window_01_frame_28019,184:4123,11,9,2,890.0821275538863,209.91861558427715,True,False,-181.29490661621094,-181.29490650445223,-180.720703125
am2_window_01_frame_28019,184:4123,11,9,4,889.9150001074069,211.91162045547873,True,False,-106.27565002441406,-106.2756416387856,-106.7587890625
am2_window_01_frame_28019,184:4123,11,10,-4,895.494276191119,204.3514031912623,True,True,23.50011444091797,23.50011644884944,22.234375
am2_window_01_frame_28019,184:4123,11,10,-2,895.3271487446395,206.34440806246388,True,False,-3.22772216796875,-3.227730918675661,-2.921875
am2_window_01_frame_28019,184:4123,11,10,0,895.1600212981601,208.3374129336655,True,False,-43.043251037597656,-43.043252784758806,-43.484375
am2_window_01_frame_28019,184:4123,11,10,2,894.9928938516807,210.3304178048671,True,False,-74.75227355957031,-74.75227849557996,-74.6875
am2_window_01_frame_28019,184:4123,11,10,4,894.8257664052013,212.32342267606867,True,False,3.22772216796875,3.227730918675661,2.921875
am2_window_01_frame_28019,184:4123,11,11,-4,900.4050458550157,204.76320569412357,True,False,-12.7476806640625,-12.747688573785126,-13.2802734375
am2_window_01_frame_28019,184:4123,11,11,-2,900.2379184085363,206.75621056532515,True,False,7.567138671875,7.5671433713287115,7.6796875
am2_window_01_frame_28019,184:4123,11,11,0,900.0707909620569,208.74921543652675,True,False,-81.70696258544922,-81.70696319639683,-81.46875
am2_window_01_frame_28019,184:4123,11,11,2,899.9036635155775,210.74222030772836,True,False,-128.679443359375,-128.67944476008415,-128.74609375
am2_window_01_frame_28019,184:4123,11,11,4,899.7365360690981,212.73522517892994,True,False,-101.43600463867188,-101.43600016087294,-101.34375
am2_window_01_frame_28019,184:4123,11,12,-4,905.3158121528103,205.17500791471352,True,True,28.9854736328125,28.985473550856113,28.6796875
am2_window_01_frame_28019,184:4123,11,12,-2,905.1486847063309,207.1680127859151,True,True,26.296226501464844,26.296227261424065,26.6376953125
am2_window_01_frame_28019,184:4123,11,12,0,904.9815572598515,209.1610176571167,True,False,-95.37898254394531,-95.37898954749107,-95.1796875
am2_window_01_frame_28019,184:4123,11,12,2,904.814429813372,211.1540225283183,True,False,-144.624755859375,-144.6247516311705,-144.392578125
am2_window_01_frame_28019,184:4123,11,12,4,904.6473023668926,213.14702739951989,True,False,-45.666481018066406,-45.66648552194238,-45.7255859375
