case_id,label,arm,pair_id,groups,direction_fit_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,cap_threshold_score,nearest_kept_by_kept_px,nearest_distinct_by_distinct_px,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank
am2_window_01_frame_28019,Am2-28019,paint,15,1 0,2.684,vertical,6,3600,2204,1128,774,512,0.3937,5.2466,5.2466,3.1315,3.1315,3.1315,3.1315,3.1315,-1,-1,-1,413,413
am2_window_01_frame_28019,Am2-28019,paint_person,27,1 13,0.607,horizontal,5,2720,1012,978,604,512,0.4161,3.4733,3.4733,0.5987,0.5987,0.5987,4.3908,4.3908,-1,-1,-1,5,5
am2_window_01_frame_28019,Am2-28019,paint_person,27,1 13,0.607,vertical,6,2730,1294,542,386,386,0.2866,3.4733,3.4733,0.9972,0.9972,0.9972,4.018,4.018,-1,-1,-1,10,10
am2_window_01_frame_28019,Am2-28019,paint_observations,15,1 0,2.9722,horizontal,5,2400,602,562,298,298,0.3484,7.553,7.553,3.6671,3.6671,3.6671,4.9634,4.9634,-1,-1,-1,1,1
am2_window_01_frame_28019,Am2-28019,paint_observations,15,1 0,2.9722,vertical,6,3150,1628,1176,764,512,0.3924,7.553,7.553,3.6001,3.6001,3.6001,5.5156,5.5156,-1,-1,-1,1,1
am2_window_01_frame_28019,Am2-28019,person_observations,15,1 0,2.9722,horizontal,5,16400,8990,7874,4366,512,0.6215,5.9399,5.9399,3.6671,3.6671,3.6671,4.9309,4.9309,-1,-1,-1,2,2
am2_window_01_frame_28019,Am2-28019,person_observations,15,1 0,2.9722,vertical,6,8280,5514,4122,2632,512,0.5271,5.9399,5.9399,3.1515,3.1515,3.1515,3.9427,3.9427,-1,-1,-1,190,190
am3_window_00_frame_0,Am3-0,baseline,43,2 14,3.7492,horizontal,5,66420,56352,47470,23758,512,0.8844,4.2708,4.2708,5.0763,5.0763,5.0763,5.2329,5.3944,-1,-1,-1,6585,366
am3_window_00_frame_0,Am3-0,baseline,43,2 14,3.7492,vertical,6,14880,11922,3044,1930,512,0.5406,4.2708,4.2708,3.4314,3.4314,3.4314,3.9241,3.9241,-1,-1,-1,15,15
am3_window_00_frame_0,Am3-0,person,42,2 13,4.1533,horizontal,5,66420,56692,47522,23980,512,0.8841,35.5327,5.295,5.69,5.69,5.69,6.2413,48.0445,-1,-1,-1,2660,238
