case_id,arm,pair_id,pencils,combined_count,valid_count,usable_count,gate2_usable_corners_equal,nearest_combined_px,nearest_combined_index,nearest_combined_valid,nearest_combined_usable,nearest_combined_player_any,nearest_combined_player_both_halves,nearest_valid_px,nearest_valid_index,nearest_valid_usable,nearest_valid_player_any,nearest_valid_player_both_halves,nearest_usable_px,nearest_usable_index,nearest_usable_post_gate_index,combined_within_5px,valid_within_5px,usable_within_5px,combined_within_20px,valid_within_20px,usable_within_20px
gxBQ_window_00_frame_0,M,134,8 15,200704,40332,31756,True,265.3502679662582,80288,True,False,1.0,0.23333333432674408,265.3502679662582,80288,False,1.0,0.23333333432674408,275.75502619251773,142013,21802,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,135,9 0,262144,101420,47382,True,332.42696299384494,82379,True,False,1.0,0.0,332.42696299384494,82379,False,1.0,0.0,337.7108546117921,82277,15055,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,136,9 1,262144,6078,5506,True,305.64491276645504,58873,False,False,1.0,1.0,375.5642639909385,58786,True,1.0,0.5333333611488342,375.5642639909385,58786,238,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,137,9 2,262144,100074,35484,True,295.6596430844432,181657,True,False,1.0,0.03333333507180214,295.6596430844432,181657,False,1.0,0.03333333507180214,297.4741009465412,182067,23676,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,141,9 6,165888,23580,7826,True,519.2204023480283,29035,False,False,1.0,0.10000000149011612,521.1569369131075,28910,False,1.0,0.03333333507180214,521.2648362900202,78064,3431,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,142,9 7,262144,63446,25474,True,384.4412789518981,261256,True,False,1.0,0.0,384.4412789518981,261256,False,1.0,0.0,384.72010117864744,261950,25455,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,143,9 8,262144,8224,5706,True,291.0858531440207,185850,False,False,0.9666666388511658,0.5333333611488342,327.4188771911837,185489,False,0.9333333373069763,0.5666666626930237,354.6528859573234,49646,790,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,145,9 11,262144,100792,47954,True,288.4833928816431,176513,True,False,1.0,0.03333333507180214,288.4833928816431,176513,False,1.0,0.03333333507180214,291.57294014880273,176530,30982,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,146,9 12,262144,94656,42736,True,300.33274386373165,261591,False,False,1.0,0.0,303.9707121602698,72158,False,1.0,0.03333333507180214,311.4786787701103,71994,10645,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,147,9 13,262144,101740,49630,True,303.96534267245784,122324,True,False,1.0,0.03333333507180214,303.96534267245784,122324,False,1.0,0.03333333507180214,310.4055916225822,122731,23384,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,148,9 14,262144,105536,51586,True,290.22600347848606,182461,True,False,1.0,0.03333333507180214,290.22600347848606,182461,False,1.0,0.03333333507180214,292.9803504018593,183197,34780,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,149,9 15,262144,96216,35126,True,322.5646573002201,192570,True,False,1.0,0.03333333507180214,322.5646573002201,192570,False,1.0,0.03333333507180214,322.7118091517714,192702,24203,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,150,10 0,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,152,10 2,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,154,10 4,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,157,10 7,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,160,10 11,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,161,10 12,0,0,0,True,,,,,,,,,,,,,,,,,,,,
