case_id,arm,pair_id,pencils,proposed_count,retained_count,nearest_proposed_px,nearest_proposed_index,nearest_proposed_retained,nearest_retained_px,nearest_retained_index,nearest_retained_px_float64_from_record,cap_gain_px,cap_discarded_closer_court,courts_closer_than_pool_nearest
gxBQ_window_00_frame_0,M,218,14 8,62264,256,217.7673126948034,17121,False,361.3117671175616,49028,361.3117648529986,143.5444544227582,True,0
gxBQ_window_00_frame_0,M,219,14 9,84974,256,156.70309525244053,27681,False,1659.202254952161,76310,1659.2022885428,1502.4991596997204,True,0
gxBQ_window_00_frame_0,M,220,14 10,0,0,,,,,,,,,
gxBQ_window_00_frame_0,M,226,15 1,27768,256,270.3735769475047,15945,False,315.39697566944733,17998,315.3969635809993,45.02339872194261,True,0
gxBQ_window_00_frame_0,M,228,15 3,68986,256,150.03073130388037,56276,False,425.04571677954794,11529,425.04573507653157,275.0149854756676,True,0
gxBQ_window_00_frame_0,M,229,15 4,12740,256,181.21539716156914,3665,False,303.99665158723053,3037,303.99666676123064,122.78125442566139,True,0
gxBQ_window_00_frame_0,M,231,15 6,3732,256,2134.229196455902,872,False,2141.3489412193644,958,2141.3489338296317,7.119744763462222,True,0
gxBQ_window_00_frame_0,M,233,15 8,40874,256,217.9090658467939,29741,False,312.52036558771664,10669,312.52034824969934,94.61129974092273,True,0
gxBQ_window_00_frame_0,M,234,15 9,77520,256,153.65902747634118,34679,False,2077.707991635878,33826,2077.7080116713664,1924.0489641595368,True,0
gxBQ_window_00_frame_0,M,235,15 10,0,0,,,,,,,,,
am3_window_00_frame_0,R,0,0 1,61108,256,365.34501836471014,6823,False,376.54533676351747,44609,376.54533233873894,11.200318398807326,True,0
am3_window_00_frame_0,R,1,0 2,34968,256,438.6693608617501,31513,False,551.1308747309874,25407,551.1308601828384,112.46151386923736,True,0
am3_window_00_frame_0,R,3,0 4,6694,256,371.60669360892535,822,False,380.58711949433695,589,380.58711527364915,8.980425885411591,True,0
am3_window_00_frame_0,R,6,0 7,69036,256,384.03653381510065,52693,False,411.26790773092597,25833,411.267888478441,27.231373915825316,True,0
am3_window_00_frame_0,R,7,0 8,16612,256,452.8721243241761,13874,False,633.0310567797445,11591,633.0310351130014,180.1589324555684,True,0
am3_window_00_frame_0,R,15,1 0,59658,256,414.50277033539317,54208,False,438.01704045803336,6932,438.01702524024023,23.5142701226402,True,0
am3_window_00_frame_0,R,16,1 2,92820,256,416.2549623717883,12722,False,465.3488840635284,18571,465.348870659547,49.09392169174009,True,0
am3_window_00_frame_0,R,17,1 3,60062,256,406.87886744301653,43589,False,614.6638205629163,9658,614.663809631905,207.78495311989974,True,0
am3_window_00_frame_0,R,19,1 5,86130,256,407.3055624129119,3964,False,503.3074037001358,13362,503.30741514428564,96.0018412872239,True,0
am3_window_00_frame_0,R,20,1 6,82876,256,411.27708371004985,22446,False,525.9663088561796,77397,525.966302441511,114.68922514612973,True,0
am3_window_00_frame_0,R,23,1 9,220,110,1232.9381617704328,59,False,1232.9381617704328,88,1232.9381481802855,0.0,False,0
am3_window_00_frame_0,R,24,1 10,19130,256,416.2234707842562,7764,False,649.2394848268119,2827,649.2394937673286,233.0160140425557,True,0
am3_window_00_frame_0,R,25,1 11,40,20,4131.9022648221835,27,True,4131.9022648221835,27,4131.90216899194,0.0,False,0
am3_window_00_frame_0,R,27,1 13,58296,256,406.87888765598933,20050,False,438.68860773945954,15678,438.6886382303875,31.80972008347021,True,0
am3_window_00_frame_0,R,28,1 14,64424,256,406.8791929089799,62879,False,578.3317551528695,28947,578.3317620960901,171.4525622438896,True,0
am3_window_00_frame_0,R,29,1 15,61680,256,408.160028186143,49107,False,508.39966222049236,46088,508.39967413672673,100.23963403434936,True,0
am3_window_00_frame_0,R,30,2 0,31452,256,40.13970744678186,21176,False,44.20780637663898,16137,44.20775329754375,4.068098929857115,True,4
am3_window_00_frame_0,R,31,2 1,84870,256,365.81199885432915,9270,False,381.0923567974408,33871,381.0923778704267,15.280357943111653,True,0
am3_window_00_frame_0,R,32,2 3,32614,256,47.948468913368224,29764,False,52.22172131126272,1043,52.22170315068857,4.273252397894495,True,0
am3_window_00_frame_0,R,33,2 4,18532,256,430.8750461685784,15036,False,497.83592736196346,8480,497.83594124764636,66.96088119338503,True,0
am3_window_00_frame_0,R,34,2 5,3556,256,147.6363723412297,3172,False,265.45204566386815,3429,265.4520871721138,117.81567332263845,True,0
am3_window_00_frame_0,R,35,2 6,4310,256,317.62925775105896,3403,False,420.00426177928574,3296,420.00431245254174,102.37500402822678,True,0
am3_window_00_frame_0,R,36,2 7,55222,256,358.3245751249487,15624,False,375.413624281368,36214,375.4135964527204,17.08904915641932,True,0
am3_window_00_frame_0,R,39,2 10,68,33,833.408459037999,52,False,833.4098595735693,46,833.409896622784,0.0014005355702693123,True,0
am3_window_00_frame_0,R,41,2 12,412,206,537.6452631986319,326,True,537.6452631986319,326,537.6452511789947,0.0,False,0
am3_window_00_frame_0,R,42,2 13,35306,256,45.53092534238964,6886,True,45.53092534238964,6886,45.53091608083735,0.0,False,0
am3_window_00_frame_0,R,43,2 14,32628,256,46.09974689269952,14662,False,48.566442648633334,23724,48.566477925289995,2.466695755933813,True,0
am3_window_00_frame_0,R,44,2 15,31964,256,40.33717193270229,14115,False,46.09596421017079,1726,46.09601432335844,5.758792277468501,True,4
